Publish Date,Average
2015-03-02,-0.1739017524653011
2015-03-03,-0.0950333513319492
2015-03-04,-0.3051940519362688
2015-03-05,0.11346215097343218
2015-03-06,-0.1497745245695114
2015-03-07,-0.4308316260576248
2015-03-08,-0.19235015536348024
2015-03-09,-0.5071039193620285
2015-03-10,-0.1889223549515009
2015-03-11,-0.5036984588950872
2015-03-12,-0.29627816492898595
2015-03-13,-0.345004025225838
2015-03-14,-0.3627723231911659
2015-03-15,0.1448546687939337
2015-03-16,-0.3338638269342482
2015-03-17,-0.2828136989000169
2015-03-18,-0.11448407685384154
2015-03-19,-0.22435974466957545
2015-03-20,0.09067448717541991
2015-03-21,0.044904865324497154
2015-03-22,0.07988749584183098
2015-03-23,-0.20208719248572984
2015-03-24,-0.3136298949830234
2015-03-25,-0.22902020113542676
2015-03-26,-0.26010931010047594
2015-03-27,-0.1464550585175554
2015-03-28,-0.22791643387504987
2015-03-29,-0.137447435176
2015-03-30,0.2202567475537459
2015-03-31,-0.2221701911517552
2015-04-01,0.008930542133748534
2015-04-02,-0.2110173748806119
2015-04-03,-0.4375069038942456
2015-04-04,-0.26838932558894163
2015-04-05,-0.25662566721439367
2015-04-06,-0.8081678748130798
2015-04-07,-0.019865781896644164
2015-04-08,0.007941335905343301
2015-04-09,-0.14161211089231074
2015-04-10,-0.28408210453662003
2015-04-11,0.06782384961843486
2015-04-12,-0.33168364576995374
2015-04-13,-0.29823915453420746
2015-04-14,-0.11610817563320909
2015-04-15,-0.3447251318904914
2015-04-16,-0.1173073963395187
2015-04-17,-0.2775174166696767
2015-04-18,-0.4063618704676628
2015-04-19,-0.2581543019041419
2015-04-20,-0.0020694378763437223
2015-04-21,-0.1887786202132702
2015-04-22,-0.5356250919401646
2015-04-23,-0.19006647611105884
2015-04-24,-0.15644396096467972
2015-04-25,-0.24794211611151692
2015-04-26,-0.15008062468125272
2015-04-27,-0.37633697151699486
2015-04-28,-0.313358555694944
2015-04-29,-0.23786155879497528
2015-04-30,-0.24863602571627674
2015-05-01,0.0157029064638274
2015-05-02,0.05859920196235176
2015-05-03,-0.3907303118280003
2015-05-04,-0.33991719875484705
2015-05-05,-0.4335288240721351
2015-05-06,-0.1912256021052599
2015-05-07,-0.12342014871537685
2015-05-08,-0.1495868498459458
2015-05-09,-0.002664305269718198
2015-05-10,0.029705158434808254
2015-05-11,-0.11973711931043202
2015-05-12,-0.3467359628309222
2015-05-13,-0.16726608267601795
2015-05-14,-0.15623387029128416
2015-05-15,-0.22382338624447584
2015-05-16,0.39650289714336395
2015-05-17,-0.14587838109582663
2015-05-18,-0.3073260535232045
2015-05-19,-0.26846741493791343
2015-05-20,-0.37712811829092413
2015-05-21,-0.2371506730094552
2015-05-22,-0.029848294580976185
2015-05-23,-0.39273191839456556
2015-05-24,-0.11547652218076918
2015-05-25,-0.17625954747200012
2015-05-26,-0.0028823791071772575
2015-05-27,-0.22825276727477709
2015-05-28,-0.288219653069973
2015-05-29,-0.2577457920863079
2015-05-30,-0.08177710076173149
2015-05-31,-0.4757722717310701
2015-06-01,-0.23339681634131604
2015-06-02,-0.2209754203530875
2015-06-03,-0.23234167220917615
2015-06-04,-0.3525644718952801
2015-06-05,-0.12634105242788793
2015-06-06,0.0285698100924492
2015-06-07,-0.3943282870782746
2015-06-08,-0.26692067459225655
2015-06-09,-0.2711763605475425
2015-06-10,-0.18750515249981123
2015-06-11,-0.36010261598442284
2015-06-12,-0.4368130584557851
2015-06-14,0.04732100582785075
2015-06-15,-0.04015649457208135
2015-06-16,-0.2290310089421623
2015-06-17,-0.07365030888468029
2015-06-18,-0.3186252810770557
2015-06-19,0.030689011399562552
2015-06-20,-0.5350916236639023
2015-06-21,-0.495392020791769
2015-06-22,-0.0014543492685664885
2015-06-23,-0.11937770331278444
2015-06-24,-0.3101684171706438
2015-06-25,-0.11803345195949079
2015-06-26,-0.1674861420566837
2015-06-27,-0.897061824798584
2015-06-28,-0.31515379541087896
2015-06-29,-0.3789602792000069
2015-06-30,0.06195307590744712
2015-07-01,-0.25796550715511496
2015-07-02,0.09877938839296502
2015-07-03,-0.304571511844794
2015-07-04,-0.31834278628230095
2015-07-05,-0.10761196911334991
2015-07-06,-0.0805269147341068
2015-07-07,-0.3640931153462993
2015-07-08,-0.4797187638195122
2015-07-09,-0.3619894590228796
2015-07-10,-0.05417520389892161
2015-07-11,-0.7296305745840073
2015-07-12,-0.12100773331310068
2015-07-13,-0.30985385552048683
2015-07-14,-0.02935081010773067
2015-07-15,-0.3044295169582421
2015-07-16,-0.31577839457282897
2015-07-17,-0.4283467224415611
2015-07-18,-0.3622018098831177
2015-07-19,-0.25593316135928035
2015-07-20,-0.036549503542482834
2015-07-21,-0.3949289542933305
2015-07-22,-0.17716606789165074
2015-07-23,-0.21929082493095295
2015-07-24,-0.6488526273857463
2015-07-25,0.049078128114342714
2015-07-26,-0.2952576062896035
2015-07-27,-0.4774291363473122
2015-07-28,0.0623968320588271
2015-07-29,0.014402864598914178
2015-07-30,-0.256030003229777
2015-07-31,-0.2137698485301091
2015-08-01,-0.9478965103626251
2015-08-02,0.046265408086280026
2015-08-03,-0.47081131041049956
2015-08-04,-0.10205246414989234
2015-08-05,-0.0981039399137864
2015-08-06,-0.15668886007839128
2015-08-07,-0.5089625276625156
2015-08-08,-0.40428656587998074
2015-08-09,0.12095655394451957
2015-08-10,-0.006493778899312038
2015-08-11,-0.11098056024109776
2015-08-12,-0.5252394540501493
2015-08-13,-0.389320037017266
2015-08-14,-0.31023547119077516
2015-08-15,0.10629313997924325
