Date,Open,High,Low,Close,Volume,EMA_12,EMA_26,MACD,Signal,RSI,CCI,ADX,Sentiment Average
2015-03-02,18134.05078125,18288.630859375,18122.58984375,18288.630859375,89790000,18288.630859375,18288.630859375,0.0,0.0,42.20882110150195,19.4069454536638,12.720891889004218,-0.1739017524653011
2015-03-03,18281.94921875,18281.94921875,18136.880859375,18203.369140625,83830000,18275.513671875,18282.315176504628,-6.801504629627743,-1.3603009259255487,42.20882110150195,19.4069454536638,12.720891889004218,-0.0950333513319492
2015-03-04,18203.369140625,18203.369140625,18029.5,18096.900390625,80900000,18248.034705528848,18268.58074792095,-20.54604239210312,-5.197449219161063,42.20882110150195,19.4069454536638,12.720891889004218,-0.3051940519362688
2015-03-05,18096.900390625,18160.349609375,18087.650390625,18135.720703125,75840000,18230.755628235947,18258.73926312125,-27.98363488530231,-9.754686352389314,42.20882110150195,19.4069454536638,12.720891889004218,0.1134621509734321
2015-03-06,18135.720703125,18135.720703125,17825.150390625,17856.779296875,113350000,18173.22080802657,18228.96445080671,-55.74364278014036,-18.952477637939523,42.20882110150195,19.4069454536638,12.720891889004218,-0.1497745245695114
2015-03-09,17856.560546875,18031.0390625,17856.560546875,17995.720703125,85820000,18145.91309958017,18211.687136163622,-65.77403658344701,-28.316789427041023,42.20882110150195,19.4069454536638,12.720891889004218,-0.5071039193620285
2015-03-10,17989.560546875,17989.560546875,17662.939453125,17662.939453125,120450000,18071.609461664,18171.039159642245,-99.42969797824844,-42.53937113728251,42.20882110150195,19.4069454536638,12.720891889004218,-0.1889223549515009
2015-03-11,17662.939453125,17731.779296875,17627.0,17635.390625,102120000,18004.498871407995,18131.361490409487,-126.86261900149113,-59.40402071012424,42.20882110150195,19.4069454536638,12.720891889004218,-0.5036984588950872
2015-03-12,17626.83984375,17900.099609375,17620.490234375,17895.220703125,111550000,17987.686845518303,18113.869580240265,-126.18273472196232,-72.75976351249186,42.20882110150195,19.4069454536638,12.720891889004218,-0.2962781649289859
2015-03-13,17889.05078125,17889.05078125,17629.890625,17749.310546875,113620000,17951.013568803948,18086.865207398398,-135.85163859444583,-85.37813852888266,42.20882110150195,19.4069454536638,12.720891889004218,-0.345004025225838
2015-03-16,17751.240234375,17988.5,17751.240234375,17977.419921875,101760000,17955.076084661032,18078.75814921148,-123.68206455044492,-93.03892373319512,42.20882110150195,19.4069454536638,12.720891889004218,-0.3338638269342482
2015-03-17,17972.220703125,17972.220703125,17785.7890625,17849.080078125,82560000,17938.76900673241,18061.744958760624,-122.9759520282132,-99.02632939219872,42.20882110150195,19.4069454536638,12.720891889004218,-0.2828136989000169
2015-03-18,17846.80078125,18097.119140625,17697.51953125,18076.189453125,130950000,17959.91061386973,18062.814921306133,-102.90430743640172,-99.80192500103934,42.20882110150195,19.4069454536638,12.720891889004218,-0.1144840768538415
2015-03-19,18072.580078125,18072.990234375,17934.240234375,17959.029296875,107820000,17959.775026639774,18055.1270972742,-95.35207063442432,-98.91195412771634,42.20882110150195,19.4069454536638,12.720891889004218,-0.2243597446695754
2015-03-20,17961.130859375,18197.2890625,17961.130859375,18127.650390625,333870000,17985.602005714427,18060.49919307796,-74.89718736353461,-94.10900077488,46.47566807602316,83.57660824592485,12.720891889004218,0.0906744871754199
2015-03-23,18136.73046875,18205.9296875,18116.0390625,18116.0390625,98030000,18005.6692452199,18064.6132574796,-58.94401225969705,-87.07600307184342,48.0243792301119,116.81156656241058,12.720891889004218,-0.2020871924857298
2015-03-24,18110.869140625,18149.240234375,18010.439453125,18011.140625,87190000,18006.510995955297,18060.652321740366,-54.14132578506906,-80.48906761448855,48.05852416177712,71.40422404523947,12.720891889004218,-0.3136298949830234
2015-03-25,18012.609375,18041.970703125,17718.5390625,17718.5390625,106560000,17962.20762157756,18035.310598833672,-73.10297725611235,-79.01184954281331,41.52897756971837,-50.665149999123024,12.720891889004218,-0.2290202011354267
2015-03-26,17716.26953125,17759.509765625,17579.26953125,17678.23046875,117740000,17918.518828834858,18008.860218827474,-90.34138999261631,-81.27775763277391,45.98545018272906,-117.0329893745966,12.720891889004218,-0.2601093101004759
2015-03-27,17673.630859375,17729.140625,17630.490234375,17712.66015625,103220000,17886.848263821805,17986.919473451366,-100.07120962956104,-85.03644803213135,43.32171186689044,-92.0085535814409,12.720891889004218,-0.1464550585175554
2015-03-30,17727.48046875,18008.640625,17727.48046875,17976.310546875,104040000,17900.611691983835,17986.1336270383,-85.52193505446485,-85.13354543659804,57.64271682611421,12.04232483382586,12.720891889004218,0.2202567475537459
2015-03-31,17965.369140625,17965.369140625,17773.01953125,17776.119140625,119470000,17881.458991774783,17970.576998415094,-89.11800664031034,-85.9304376773405,53.16560916437549,-32.47965481345861,12.720891889004218,-0.2221701911517552
2015-04-01,17778.51953125,17778.51953125,17585.009765625,17698.1796875,103360000,17853.26217573251,17950.39941982879,-97.13724409628048,-88.1717989611285,45.17264776334514,-107.8451251993492,12.720891889004218,0.0089305421337485
2015-04-02,17699.51953125,17815.029296875,17673.490234375,17763.240234375,87370000,17839.412646292894,17936.535776461846,-97.12313016895132,-89.96206520269307,50.35534350536503,-72.89880002832196,12.720891889004218,-0.2110173748806119
2015-04-06,17755.5,17941.7890625,17646.80078125,17880.849609375,100850000,17845.78756369014,17932.410875196154,-86.62331150601312,-89.29431446335708,47.38933006673988,-29.805097138660983,12.720891889004218,-0.8081678748130798
2015-04-07,17884.3203125,17983.119140625,17871.2109375,17875.419921875,72150000,17850.34638802627,17928.189323098293,-77.84293507202165,-87.00403858509,50.762756920014034,14.776152095746513,12.720891889004218,-0.0198657818966441
2015-04-08,17877.619140625,17976.19921875,17822.23046875,17902.509765625,76820000,17858.37152304146,17926.287133655827,-67.91561061436732,-83.18635299094547,44.31155804610936,12.235800494048464,12.720891889004218,0.0079413359053433
2015-04-09,17902.509765625,17984.220703125,17823.099609375,17958.73046875,86740000,17873.811360842774,17928.6903436628,-54.878982820027886,-77.52487895676195,49.98980569521827,27.74062665947178,12.720891889004218,-0.1416121108923107
2015-04-10,17956.73046875,18066.759765625,17945.55078125,18057.650390625,116410000,17902.094288501576,17938.24293973408,-36.14865123250274,-69.24963341191011,47.49276651947863,92.12842940832958,13.806323123364328,-0.28408210453662
2015-04-13,18052.3203125,18107.5703125,17974.810546875,17977.0390625,120090000,17913.6242537321,17941.11672660563,-27.49247287352773,-60.89820130423364,45.25584619897076,103.70397349673154,12.826408495260926,-0.2982391545342074
2015-04-14,17979.109375,18075.599609375,17905.48046875,18036.69921875,82830000,17932.558863734856,17948.196911208917,-15.63804747406175,-51.84617053819926,50.900126290070965,100.65166832124004,11.846493867157523,-0.116108175633209
2015-04-15,18045.7109375,18160.51953125,18045.7109375,18112.609375,113610000,17960.258942391032,17960.37561223048,-0.11666983944815,-41.50027039844904,66.37822427721642,136.5472869926666,12.009789444952748,-0.3447251318904914
2015-04-16,18106.26953125,18169.259765625,18063.859375,18105.76953125,89520000,17982.645186830872,17971.145532157854,11.499654673018084,-30.900285384155616,68.27773472986694,127.80609336925244,12.264439641026373,-0.1173073963395187
2015-04-17,18102.560546875,18102.560546875,17748.529296875,17826.30078125,138860000,17958.592201356892,17960.416291349866,-1.8240899929733128,-25.08504630591916,54.01670081571113,-20.190965404012378,12.138932671252338,-0.2775174166696767
2015-04-20,17841.1796875,18092.220703125,17841.1796875,18034.9296875,103160000,17970.336429994295,17965.9358021758,4.400627818493376,-19.18791148103665,52.15578109624266,41.80430407631732,16.031299599580233,-0.0020694378763437
2015-04-21,18034.23046875,18109.69921875,17929.630859375,17949.58984375,95180000,17967.144647495174,17964.724990440558,2.419657054615527,-14.866397773906217,56.968214391629694,39.39329781158452,20.3056889614868,-0.1887786202132702
