Date,Open,High,Low,Close,Volume,EMA_12,EMA_26,MACD,Signal,RSI,CCI,ADX
2009-01-02 00:00:00+05:30,3034.60009765625,3079.85009765625,3021.800048828125,3046.75,0,3046.75,3046.75,0.0,0.0,31.448162681636234,-90.3684023842458,42.31840363754802
2009-01-05 00:00:00+05:30,3058.75,3131.949951171875,3056.449951171875,3121.449951171875,0,3058.2423001802886,3052.283329716435,5.958970463853348,1.1917940927706696,31.448162681636234,-90.3684023842458,42.31840363754802
2009-01-06 00:00:00+05:30,3121.5,3141.800048828125,3056.10009765625,3112.800048828125,0,3066.6357999722636,3056.7660496506346,9.869750321628999,2.9273853385423356,31.448162681636234,-90.3684023842458,42.31840363754802
2009-01-07 00:00:00+05:30,3112.800048828125,3147.199951171875,2888.199951171875,2920.39990234375,0,3044.137969567877,3046.6648535538284,-2.526883985951372,1.8365314736435945,31.448162681636234,-90.3684023842458,42.31840363754802
2009-01-09 00:00:00+05:30,2919.949951171875,2929.85009765625,2810.25,2873.0,0,3017.809051172819,3033.800790327619,-15.991739154799689,-1.7291226520450622,31.448162681636234,-90.3684023842458,42.31840363754802
2009-01-12 00:00:00+05:30,2868.85009765625,2869.199951171875,2748.550048828125,2773.10009765625,0,2980.1615198625777,3014.4896279075174,-34.328108044939654,-8.248919730623982,31.448162681636234,-90.3684023842458,42.31840363754802
2009-01-13 00:00:00+05:30,2775.0,2802.60009765625,2720.800048828125,2744.949951171875,0,2943.975124679393,2994.5237259270993,-50.5486012477063,-16.708856034040448,31.448162681636234,-90.3684023842458,42.31840363754802
2009-01-14 00:00:00+05:30,2748.39990234375,2853.25,2748.39990234375,2835.300048828125,0,2927.2558822407364,2982.7293794753236,-55.473497234587285,-24.461784274149817,31.448162681636234,-90.3684023842458,42.31840363754802
2009-01-15 00:00:00+05:30,2832.300048828125,2832.300048828125,2701.75,2736.699951171875,0,2897.939585153219,2964.504977378772,-66.56539222555284,-32.88250586443043,31.448162681636234,-90.3684023842458,42.31840363754802
2009-01-16 00:00:00+05:30,2737.0,2835.64990234375,2724.199951171875,2828.449951171875,0,2887.248872233012,2954.426827289372,-67.17795505635968,-39.741595702816284,31.448162681636234,-90.3684023842458,42.31840363754802
