Publish Date,Average
2015-03-02,-0.1739017524653011
2015-03-03,-0.0950333513319492
2015-03-04,-0.3051940519362688
2015-03-05,0.1134621509734321
2015-03-06,-0.1497745245695114
2015-03-07,-0.4308316260576248
2015-03-08,-0.1923501553634802
2015-03-09,-0.5071039193620285
2015-03-10,-0.1889223549515009
2015-03-11,-0.5036984588950872
2015-03-12,-0.2962781649289859
2015-03-13,-0.345004025225838
2015-03-14,-0.3627723231911659
2015-03-15,0.1448546687939337
2015-03-16,-0.3338638269342482
2015-03-17,-0.2828136989000169
2015-03-18,-0.1144840768538415
2015-03-19,-0.2243597446695754
2015-03-20,0.0906744871754199
2015-03-21,0.0449048653244971
2015-03-22,0.0798874958418309
2015-03-23,-0.2020871924857298
2015-03-24,-0.3136298949830234
2015-03-25,-0.2290202011354267
2015-03-26,-0.2601093101004759
2015-03-27,-0.1464550585175554
2015-03-28,-0.2279164338750498
2015-03-29,-0.137447435176
2015-03-30,0.2202567475537459
2015-03-31,-0.2221701911517552
2015-04-01,0.0089305421337485
2015-04-02,-0.2110173748806119
2015-04-03,-0.4375069038942456
2015-04-04,-0.2683893255889416
2015-04-05,-0.2566256672143936
2015-04-06,-0.8081678748130798
2015-04-07,-0.0198657818966441
2015-04-08,0.0079413359053433
2015-04-09,-0.1416121108923107
2015-04-10,-0.28408210453662
2015-04-11,0.0678238496184348
2015-04-12,-0.3316836457699537
2015-04-13,-0.2982391545342074
2015-04-14,-0.116108175633209
2015-04-15,-0.3447251318904914
2015-04-16,-0.1173073963395187
2015-04-17,-0.2775174166696767
2015-04-18,-0.4063618704676628
2015-04-19,-0.2581543019041419
2015-04-20,-0.0020694378763437
2015-04-21,-0.1887786202132702
2015-04-22,-0.5356250919401646
2015-04-23,-0.1900664761110588
2015-04-24,-0.1564439609646797
2015-04-25,-0.2479421161115169
2015-04-26,-0.1500806246812527
2015-04-27,-0.3763369715169948
2015-04-28,-0.313358555694944
2015-04-29,-0.2378615587949752
2015-04-30,-0.2486360257162767
2015-05-01,0.0157029064638274
2015-05-02,0.0585992019623517
2015-05-03,-0.3907303118280003
2015-05-04,-0.339917198754847
2015-05-05,-0.4335288240721351
2015-05-06,-0.1912256021052599
2015-05-07,-0.1234201487153768
2015-05-08,-0.1495868498459458
2015-05-09,-0.0026643052697181
2015-05-10,0.0297051584348082
2015-05-11,-0.119737119310432
2015-05-12,-0.3467359628309222
2015-05-13,-0.1672660826760179
2015-05-14,-0.1562338702912841
2015-05-15,-0.2238233862444758
2015-05-16,0.3965028971433639
2015-05-17,-0.1458783810958266
2015-05-18,-0.3073260535232045
2015-05-19,-0.2684674149379134
2015-05-20,-0.3771281182909241
2015-05-21,-0.2371506730094552
2015-05-22,-0.0298482945809761
2015-05-23,-0.3927319183945655
2015-05-24,-0.1154765221807691
2015-05-25,-0.1762595474720001
2015-05-26,-0.0028823791071772
2015-05-27,-0.228252767274777
2015-05-28,-0.288219653069973
2015-05-29,-0.2577457920863079
2015-05-30,-0.0817771007617314
2015-05-31,-0.4757722717310701
2015-06-01,-0.233396816341316
2015-06-02,-0.2209754203530875
2015-06-03,-0.2323416722091761
2015-06-04,-0.3525644718952801
2015-06-05,-0.1263410524278879
2015-06-06,0.0285698100924492
2015-06-07,-0.3943282870782746
2015-06-08,-0.2669206745922565
2015-06-09,-0.2711763605475425
2015-06-10,-0.1875051524998112
2015-06-11,-0.3601026159844228
2015-06-12,-0.4368130584557851
2015-06-14,0.0473210058278507
2015-06-15,-0.0401564945720813
2015-06-16,-0.2290310089421623
2015-06-17,-0.0736503088846802
2015-06-18,-0.3186252810770557
2015-06-19,0.0306890113995625
2015-06-20,-0.5350916236639023
2015-06-21,-0.495392020791769
2015-06-22,-0.0014543492685664
2015-06-23,-0.1193777033127844
2015-06-24,-0.3101684171706438
2015-06-25,-0.1180334519594907
2015-06-26,-0.1674861420566837
2015-06-27,-0.897061824798584
2015-06-28,-0.3151537954108789
2015-06-29,-0.3789602792000069
2015-06-30,0.0619530759074471
2015-07-01,-0.2579655071551149
2015-07-02,0.098779388392965
2015-07-03,-0.304571511844794
2015-07-04,-0.3183427862823009
2015-07-05,-0.1076119691133499
2015-07-06,-0.0805269147341068
2015-07-07,-0.3640931153462993
2015-07-08,-0.4797187638195122
2015-07-09,-0.3619894590228796
2015-07-10,-0.0541752038989216
2015-07-11,-0.7296305745840073
2015-07-12,-0.1210077333131006
2015-07-13,-0.3098538555204868
2015-07-14,-0.0293508101077306
2015-07-15,-0.3044295169582421
2015-07-16,-0.3157783945728289
2015-07-17,-0.4283467224415611
2015-07-18,-0.3622018098831177
2015-07-19,-0.2559331613592803
2015-07-20,-0.0365495035424828
2015-07-21,-0.3949289542933305
2015-07-22,-0.1771660678916507
2015-07-23,-0.2192908249309529
2015-07-24,-0.6488526273857463
2015-07-25,0.0490781281143427
2015-07-26,-0.2952576062896035
2015-07-27,-0.4774291363473122
2015-07-28,0.0623968320588271
2015-07-29,0.0144028645989141
2015-07-30,-0.256030003229777
2015-07-31,-0.2137698485301091
2015-08-01,-0.9478965103626252
2015-08-02,0.04626540808628
2015-08-03,-0.4708113104104995
2015-08-04,-0.1020524641498923
2015-08-05,-0.0981039399137864
2015-08-06,-0.1566888600783912
2015-08-07,-0.5089625276625156
2015-08-08,-0.4042865658799807
2015-08-09,0.1209565539445195
2015-08-10,-0.006493778899312
2015-08-11,-0.1109805602410977
2015-08-12,-0.5252394540501493
2015-08-13,-0.389320037017266
2015-08-14,-0.3102354711907751
2015-08-15,0.1062931399792432
